comment,publishedAt,language
"PURNA TUGAS PAK PRESIDEN GADA, PADALAH VIRAL",2025-01-22T07:17:58Z,vi
SUPER MANTAP ⚜ 𝐁 𝐔 𝐊 𝐈 𝐓 𝟖 𝟖 𝟖 ⚜,2025-01-22T07:16:18Z,de
"konsepnya bagus lo
tapi sayangnya belum bisa terlaksana",2025-01-22T07:16:17Z,id
Kurang konsep  tentang segala kelakuan dari Partai Coklat bang,2025-01-22T07:15:17Z,id
"Makasihh udah tetap memutuskan untuk share storyboardnya bg chand! di kepala saya udah kebayang betapa bagusnya rewind ini, semoga tahun 2025 bisa terwujud sesuai kualitas dan harapan bg chand dan team!",2025-01-22T07:15:08Z,id
"Kira2 mungkin gak ya dibalikin lagi jadi ""youtube rewind""?🤔",2025-01-22T07:13:18Z,id
Pergantian tahun tanpa rewind tuh berasa banget kosong nya 😢 semoga tahun depan ada lagi ya,2025-01-22T07:12:23Z,id
9.48 dan bendera merah putih tetap dipegang jokowi? hmm,2025-01-22T07:11:43Z,id
Kurangin musik tiktonya,2025-01-22T07:10:52Z,id
"selalu keren, ini saya anggap jadi rewind indonesia 2024, FIX",2025-01-22T07:09:58Z,id
"Tim2one keren..
And also Ericko Lim as yt rewind director in his prime 🔥",2025-01-22T07:08:58Z,en
"NOTED : ""TIDAK ADA REWIND INDONESIA 2024""",2025-01-22T07:07:37Z,en
"gapapa bang chandra, gua mengerti alesan kenapa rewind tahun 2024 ini belum bisa terlaksana. gua penikmat konten lu dari 2014 sampe adanya rewind indonesia ada sampe yang terakhir 2023 juga merasa kalo rewind indonesia emang harus istirahat dulu sampe nanti di rewind selanjut nya (which is gatau kapan ada lagi). semoga lu sukses selalu dan bisa selalu menyajikan konten yang lebih baik lagi di tahun ini, we will miss the rewind indonesia:)",2025-01-22T07:06:50Z,id
Always go up brother,2025-01-22T07:06:45Z,en
"YouTube Rewind sekarang ga seru 
Ini bukan YouTube Rewind, Tetapi TikTok Rewind
Biasanya Di Upload ke Akun Resmi @IndonesianCreator 

Sukses terus Bang @Tim2One - CandraLiow
Semoga next Akhir tahun ada 
YouTube Rewind 2025",2025-01-22T07:05:34Z,id
Storyboard nya aja keren gini apalagi kalo jadi ya?,2025-01-22T07:04:26Z,id
Still got me a goosebumps,2025-01-22T07:03:57Z,en
bang ngurusun rewaind mulu,2025-01-22T07:03:41Z,id
ABSOLUTELY CINEMA,2025-01-22T07:02:22Z,cy
ga tega nontonyaa cok,2025-01-22T07:02:21Z,tl
Padahal gua nunggu rewind 2024 soalnya bnyak bnget momen yang berkesan,2025-01-22T07:01:12Z,id
"bg, mau kasi saran, coba bikin merch unik dr nostalgia perjalanan YouTube indonesi, dijual limited aja, misalnya isinya illustrasi layout youtube dlu di isi konten viral di jamannya, mungkin biasa aja, tpi nostalgianya dapet, saya illustrator digital 2D siap bantuin ❤",2025-01-22T06:59:01Z,id
"Mantap bg liaow dan crew, Sampe Merinding w

Gpp bg semangat, kami dukung bg liaow👍",2025-01-22T06:58:58Z,id
"Gapapa, bang... kalian semua tetap keren...",2025-01-22T06:58:42Z,id
"Gilee, dari animation story board aja udah bikin merinding
semangatt",2025-01-22T06:58:14Z,id
Absolute cinema,2025-01-22T06:57:51Z,ro
Semoga ga ajak wili salim,2025-01-22T06:56:56Z,id
"Setelah bryan furran jadi aktor, rewindnya terbawa karakter beliau😂",2025-01-22T06:56:50Z,id
